cat_id,cat_name,cat_age,cat_gender,cat_size,cat_breed,cat_image,cat_rating,user_id,user_first_name,user_last_name,user_gender,user_age
0,trisie beiji,Adult,female,Large,local,Trisie Beiji.jpg,1,0,shelia,Mahoney,Male,16
1,trisi sukmajaya,Young,female,Large,local,Trisi Sukmajaya.jpg,4,1,jo,Rivers,Female,17
2,uli,Young,female,Large,local,Uli.jpg,0,2,sheryl,Lowery,Female,18
3,chika,Adult,female,Large,local,Chika.jpg,5,3,whitney,Hooper,Male,19
4,cookies,Young,female,Large,local,Cookies.jpg,4,4,lindsey,Rice,Female,20
5,merdeka,Adult,female,Large,local,Merdeka,0,5,sherry,Caldwell,Male,21
6,paper,Adult,female,Large,local,Paper,0,6,ernest,Hoffman,Male,22
7,biru,Young,female,Large,local,Biru.jpg,0,7,doris,Andersen,Male,23
8,sikunyit,Adult,female,Large,local,Sikunyit.jpg,1,8,cheryl,Mays,Male,24
9,kuro fe ui,Young,female,Large,local,Kuro FE UI.jpg,3,9,harry,Mitchell,Male,25
10,aprilio,Adult,male,Large,local Mix,Aprilio.jpg,5,10,casey,Ayala,Male,26
11,loci,Senior,female,Large,local,Loci.jpg,5,11,sara,Huff,Male,27
12,klinika,Young,female,Large,local,Klinika.jpg,1,12,eddie,Barnes,Female,28
13,noni,Young,female,Large,persia mix,Klinika.jpg,3,13,ralph,Lowe,Female,29
14,mimi,Baby ,female,Small,local,Mimi.jpg,2,14,priscilla,Davis,Male,30
15,rere,Baby ,female,Small,local,Rere.jpg,3,15,carly,Abbott,Female,31
16,ucil,Baby ,male,Small,local,Ucil.JPG,2,16,nicolas,Mckinney,Male,32
17,chandra,Young,male,medium,local,Chandra.JPG,2,17,natasha,Macias,Female,33
18,odin,Adult,female,medium,local,Odin.jpeg,4,18,courtney,Jenkins,Female,34
19,bumi,Young,female,Large,local,Bumi.JPG,2,19,perry,Mcmahon,Female,35
20,venus,Baby ,female,small,local,Venus.JPG,4,20,emily,Travis,Male,36
21,mars,Baby ,female,small,local,Mars.JPG,3,21,meghan,Hawkins,Male,37
22,bulan,Baby ,female,small,local,Bulan.JPG,1,22,ernest,Oconnell,Male,38
23,embul ,Baby ,female,Large,local,Embul.JPG,0,23,norman,Walton,Female,39
24,beam,Adult,female,Large,local,Beam.JPG,5,24,roger,Sweeney,Female,40
25,pangpong,Baby ,female,small,local,Pangpong.JPG,5,25,ethan,Wu,Male,41
26,cope,Adult,female,Large,local,Cope.JPG,1,26,catherine,Myers,Male,42
27,cipul,Young,male,Large,local,Cipul.JPG,2,27,catherine,Nash,Female,43
28,dwi,Young,female,Large,local,Dwi.JPG,2,28,corey,Delgado,Male,44
29,titi,Adult,female,Large,local,Titi.jpg,4,29,hunter,Hahn,Female,45
30,dodo,Young,female,small,local,Dodo.jpg,5,30,dakota,Gomez,Male,46
31,yati,Young,female,Large,local,Yati.jpg,3,31,nathaniel,Clarke,Female,47
32,iming,Young,female,Large,local,Iming.jpg,5,32,marco,Reyes,Male,48
33,nginden,Adult,female,Large,local,Nginden.jpg,2,33,todd,Weber,Male,49
34,bubub,Adult,male,Large,local,Bubub.jpg,1,34,bryan,Vaughn,Male,50
35,desi,Young,female,Large,local,Desi.jpg,0,35,adrienne,Lambert,Male,51
36,duren,Young,female,Large,local,Duren.jpg,2,36,seth,Hess,Male,52
37,bejo,Adult,male,Large,local,Bejo.jpg,2,37,stefanie,Sherman,Male,53
38,maisy,Young,female,Large,local,maisy.jpg,4,38,kent,Velez,Male,54
39,snow,Young,female,medium,local,Snow.jpg,0,39,angela,Huff,Male,55
51,sunny,Baby,female,Small,persia,Sunny.jpg,4,51,brandon,Lee,Male,56
52,charlie,Young,male,Medium,siamese,Charlie.jpg,3,52,carol,Smith,Female,57
53,lily,Adult,female,Large,persia mix,Lily.jpg,5,53,daniel,Johnson,Male,58
54,oscar,Baby,male,Small,persia,Oscar.jpg,2,54,olivia,Williams,Female,59
55,leo,Adult,female,Large,persia,Leo2.jpg,4,55,kevin,Martin,Male,60
56,fluffy,Young,male,Medium,siamese,Fluffy.jpg,1,56,emma,Miller,Female,61
57,shadow,Young,male,Large,persia mix,Shadow2.jpg,3,58,olivia,Moore,Female,62
58,whiskers,Adult,female,Medium,siamese,Whiskers2.jpg,2,59,ryan,Anderson,Male,63
59,bella,Baby,female,Small,persia,Bella3.jpg,4,60,emily,Martin,Female,64
60,snowflake,Baby,female,Small,persia mix,Snowflake2.jpg,4,61,michael,Jackson,Male,65
61,mittens,Young,male,Large,persia,Mittens2.jpg,3,62,susan,Smith,Female,66
62,coco,Adult,female,Large,persia,Coco2.jpg,4,65,chris,Martin,Male,67
63,sparky,Young,male,Medium,siamese,Sparky2.jpg,1,66,samantha,Miller,Female,68
64,lola,Baby,female,Small,persia,Lola3.jpg,5,67,david,Brown,Male,69
65,rocky,Young,male,Large,persia mix,Rocky7.jpg,3,68,olivia,Moore,Female,70
